address,country_code,house_number,street,town,state,postal_code,country
"90 COCKERELL STREET, BROCKVILLE, DUNEDIN",NZ,90,COCKERELL STREET,DUNEDIN,,,
"39 EASTHER CRESCENT, KEW, DUNEDIN",NZ,39,EASTHER CRESCENT,DUNEDIN,,,
"4 MARYHILL TERRACE, MARYHILL, DUNEDIN",NZ,4,MARYHILL TERRACE,DUNEDIN,,,
"56 CENTENNIAL AVENUE, ARROWTOWN",NZ,56,CENTENNIAL AVENUE,ARROWTOWN,,,
"59 CLERMISTON AVENUE, CORSTORPHINE, DUNEDIN",NZ,59,CLERMISTON AVENUE,DUNEDIN,,,
"20 HIGHGROVE, SAINT CLAIR, DUNEDIN",NZ,20,HIGHGROVE,DUNEDIN,,,
"157 PENINSULA ROAD, KAWARAU FALLS, QUEENSTOWN",NZ,157,PENINSULA ROAD,QUEENSTOWN,,,
"14 MARKET STREET, KAITANGATA",NZ,14,MARKET STREET,KAITANGATA,,,
"1320 HUNT ROAD, OWAKA VALLEY, OWAKA",NZ,1320,HUNT ROAD,OWAKA,,,
"124 WAKARI ROAD, HELENSBURGH, DUNEDIN",NZ,124,WAKARI ROAD,DUNEDIN,,,
"34 THOMAS STREET, RANFURLY",NZ,34,THOMAS STREET,RANFURLY,,,
"105 SHETLAND STREET, WAKARI, DUNEDIN",NZ,105,SHETLAND STREET,DUNEDIN,,,
"23 ROB ROY LANE, WANAKA",NZ,23,ROB ROY LANE,WANAKA,,,
"24 BURWOOD AVENUE, MAORI HILL, DUNEDIN",NZ,24,BURWOOD AVENUE,DUNEDIN,,,
"5 SEAVIEW ROAD, BRIGHTON, DUNEDIN",NZ,5,SEAVIEW ROAD,DUNEDIN,,,
"64 ANDREWS ROAD, QUEENSTOWN",NZ,64,ANDREWS ROAD,QUEENSTOWN,,,
"2 JOSEPHINE STREET, CAVERSHAM, DUNEDIN",NZ,2,JOSEPHINE STREET,DUNEDIN,,,
"7 COCKERELL STREET, BROCKVILLE, DUNEDIN",NZ,7,COCKERELL STREET,DUNEDIN,,,
"18 LYNWOOD AVENUE, MAORI HILL, DUNEDIN",NZ,18,LYNWOOD AVENUE,DUNEDIN,,,
"4 BURGESS STREET, GREEN ISLAND, DUNEDIN",NZ,4,BURGESS STREET,DUNEDIN,,,
"16 EUREKA STREET, ALEXANDRA",NZ,16,EUREKA STREET,ALEXANDRA,,,
"19 DOUGLAS STREET, BALCLUTHA",NZ,19,DOUGLAS STREET,BALCLUTHA,,,
"17 ERIN STREET, ROSLYN, DUNEDIN",NZ,17,ERIN STREET,DUNEDIN,,,
"191 BROCKVILLE ROAD, BROCKVILLE, DUNEDIN",NZ,191,BROCKVILLE ROAD,DUNEDIN,,,
"92 WYNYARD CRESCENT, FERNHILL, QUEENSTOWN",NZ,92,WYNYARD CRESCENT,QUEENSTOWN,,,
"17 CHAIN HILLS ROAD, CHAIN HILLS, DUNEDIN",NZ,17,CHAIN HILLS ROAD,DUNEDIN,,,
"1485 HILLFOOT ROAD, KAIHIKU, BALCLUTHA",NZ,1485,HILLFOOT ROAD,BALCLUTHA,,,
"2 THE WHISTLESTOP, CLYDE",NZ,2,THE WHISTLESTOP,CLYDE,,,
"228 BURT STREET, WAKARI, DUNEDIN",NZ,228,BURT STREET,DUNEDIN,,,
"8 BRISBANE STREET, QUEENSTOWN",NZ,8,BRISBANE STREET,QUEENSTOWN,,,
"1 SPEY STREET, MOSGIEL",NZ,1,SPEY STREET,MOSGIEL,,,
"17 COPELAND STREET, BRIGHTON, DUNEDIN",NZ,17,COPELAND STREET,DUNEDIN,,,
"22 SELKIRK STREET, ROSLYN, DUNEDIN",NZ,22,SELKIRK STREET,DUNEDIN,,,
"9 BELGRAVE CRESCENT, KAIKORAI, DUNEDIN",NZ,9,BELGRAVE CRESCENT,DUNEDIN,,,
"70 GRENDON STREET, MAORI HILL, DUNEDIN",NZ,70,GRENDON STREET,DUNEDIN,,,
"12 HYLTON PLACE, QUEENSTOWN",NZ,12,HYLTON PLACE,QUEENSTOWN,,,
"5 SARGOOD DRIVE, WANAKA",NZ,5,SARGOOD DRIVE,WANAKA,,,
"115 LYNN STREET, WAKARI, DUNEDIN",NZ,115,LYNN STREET,DUNEDIN,,,
"28 SAINSBURY ROAD, FERNHILL, QUEENSTOWN",NZ,28,SAINSBURY ROAD,QUEENSTOWN,,,
"7 HOBSON STREET, SAINT CLAIR, DUNEDIN",NZ,7,HOBSON STREET,DUNEDIN,,,
"480 CLUTHA RIVER ROAD, WHARETOA, CLYDEVALE",NZ,480,CLUTHA RIVER ROAD,CLYDEVALE,,,
"16 COLQUHOUN STREET, GLENROSS, DUNEDIN",NZ,16,COLQUHOUN STREET,DUNEDIN,,,
"738 HARINGTON POINT ROAD, OTAKOU, DUNEDIN",NZ,738,HARINGTON POINT ROAD,DUNEDIN,,,
"17 SCARBA STREET, ROSLYN, DUNEDIN",NZ,17,SCARBA STREET,DUNEDIN,,,
"8 GLASGOW STREET, QUEENSTOWN",NZ,8,GLASGOW STREET,QUEENSTOWN,,,
"6 LAKE STREET, QUEENSTOWN",NZ,6,LAKE STREET,QUEENSTOWN,,,
"5 GREENHILL AVENUE, WAKARI, DUNEDIN",NZ,5,GREENHILL AVENUE,DUNEDIN,,,
"71 WILLIAM BRITTAN AVENUE, HALSWELL, CHRISTCHURCH",NZ,71,WILLIAM BRITTAN AVENUE,CHRISTCHURCH,,,
"11 OAKGROVE DRIVE, RANGIORA",NZ,11,OAKGROVE DRIVE,RANGIORA,,,
"106 WAENGA DRIVE, CROMWELL",NZ,106,WAENGA DRIVE,CROMWELL,,,
"83 SUTHERLAND STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,83,SUTHERLAND STREET,DUNEDIN,,,
"11 SWIMMING DAM ROAD, NASEBY",NZ,11,SWIMMING DAM ROAD,NASEBY,,,
"203 FRANKTON ROAD, QUEENSTOWN",NZ,203,FRANKTON ROAD,QUEENSTOWN,,,
"29 BYRON STREET, MORNINGTON, DUNEDIN",NZ,29,BYRON STREET,DUNEDIN,,,
"7 OWAI AVENUE, HELENA BAY, HIKURANGI",NZ,7,OWAI AVENUE,HIKURANGI,,,
"2 WINSTON PLACE, KEW, DUNEDIN",NZ,2,WINSTON PLACE,DUNEDIN,,,
"22 SADDLE HILL ROAD, FAIRFIELD, DUNEDIN",NZ,22,SADDLE HILL ROAD,DUNEDIN,,,
"159 VICTORIA ROAD, SAINT CLAIR, DUNEDIN",NZ,159,VICTORIA ROAD,DUNEDIN,,,
"12 KEINAN AVENUE, MILTON",NZ,12,KEINAN AVENUE,MILTON,,,
"43 LAWRENCE STREET, MORNINGTON, DUNEDIN",NZ,43,LAWRENCE STREET,DUNEDIN,,,
"1 SICKELS STREET, FAIRFIELD, DUNEDIN",NZ,1,SICKELS STREET,DUNEDIN,,,
"4 CARGILL STREET, OWAKA",NZ,4,CARGILL STREET,OWAKA,,,
"7 QUEEN STREET, MILTON",NZ,7,QUEEN STREET,MILTON,,,
"74 WILLIAM BRITTAN AVENUE, HALSWELL, CHRISTCHURCH",NZ,74,WILLIAM BRITTAN AVENUE,CHRISTCHURCH,,,
"11 COCHRANE STREET, MORNINGTON, DUNEDIN",NZ,11,COCHRANE STREET,DUNEDIN,,,
"28A MARGARET PLACE, FRANKTON, QUEENSTOWN",NZ,28A,MARGARET PLACE,QUEENSTOWN,,,
"47 CANNINGTON ROAD, MAORI HILL, DUNEDIN",NZ,47,CANNINGTON ROAD,DUNEDIN,,,
"128 BLACKIE ROAD, KAITANGATA",NZ,128,BLACKIE ROAD,KAITANGATA,,,
"77 BAKER STREET, STIRLING",NZ,77,BAKER STREET,STIRLING,,,
"66 LONSDALE STREET, BELLEKNOWES, DUNEDIN",NZ,66,LONSDALE STREET,DUNEDIN,,,
"1693 GIBBSTON HIGHWAY, GIBBSTON, QUEENSTOWN",NZ,1693,GIBBSTON HIGHWAY,QUEENSTOWN,,,
"63 BRANDON STREET, ALEXANDRA",NZ,63,BRANDON STREET,ALEXANDRA,,,
"12 MURE STREET, MOSGIEL",NZ,12,MURE STREET,MOSGIEL,,,
"4/13 GARREG ROAD, FENDALTON, CHRISTCHURCH",NZ,4/13,GARREG ROAD,CHRISTCHURCH,,,
"8 SUBURB STREET, QUEENSTOWN",NZ,8,SUBURB STREET,QUEENSTOWN,,,
"6 MILWARD PLACE, KELVIN HEIGHTS, QUEENSTOWN",NZ,6,MILWARD PLACE,QUEENSTOWN,,,
"1 MOREAU STREET, SOUTH DUNEDIN, DUNEDIN",NZ,1,MOREAU STREET,DUNEDIN,,,
"7A MOLYNEUX AVENUE, CROMWELL",NZ,7A,MOLYNEUX AVENUE,CROMWELL,,,
"19 EDWIN STREET, CAVERSHAM, DUNEDIN",NZ,19,EDWIN STREET,DUNEDIN,,,
"35 ESSEX STREET, BALCLUTHA",NZ,35,ESSEX STREET,BALCLUTHA,,,
"6 BLEDISLOE STREET, KUROW",NZ,6,BLEDISLOE STREET,KUROW,,,
"48 DUNGARVON STREET, WANAKA",NZ,48,DUNGARVON STREET,WANAKA,,,
"49 OLD BRIGHTON ROAD, FAIRFIELD, DUNEDIN",NZ,49,OLD BRIGHTON ROAD,DUNEDIN,,,
"267 PORT MOLYNEUX ROAD, KAKA POINT",NZ,267,PORT MOLYNEUX ROAD,KAKA POINT,,,
"76 MARYHILL TERRACE, MARYHILL, DUNEDIN",NZ,76,MARYHILL TERRACE,DUNEDIN,,,
"4 OLIVER STREET, WAKARI, DUNEDIN",NZ,4,OLIVER STREET,DUNEDIN,,,
"126 SALCOMBE STREET, KAITANGATA",NZ,126,SALCOMBE STREET,KAITANGATA,,,
"8 THE TERRACE, QUEENSTOWN",NZ,8,THE TERRACE,QUEENSTOWN,,,
"60 MONAGHAN STREET, CROMWELL",NZ,60,MONAGHAN STREET,CROMWELL,,,
"598 PINE HILL ROAD, PINE HILL, DUNEDIN",NZ,598,PINE HILL ROAD,DUNEDIN,,,
"9 BELLEVUE STREET, BELLEKNOWES, DUNEDIN",NZ,9,BELLEVUE STREET,DUNEDIN,,,
"84 NEPLUSULTRA STREET, CROMWELL",NZ,84,NEPLUSULTRA STREET,CROMWELL,,,
"211 OXFORD STREET, SOUTH DUNEDIN, DUNEDIN",NZ,211,OXFORD STREET,DUNEDIN,,,
"4 NILE STREET, SAINT CLAIR, DUNEDIN",NZ,4,NILE STREET,DUNEDIN,,,
"24 MAIN SOUTH ROAD, CONCORD, DUNEDIN",NZ,24,MAIN SOUTH ROAD,DUNEDIN,,,
"14 BEACON POINT ROAD, WANAKA",NZ,14,BEACON POINT ROAD,WANAKA,,,
"10 ROB ROY LANE, WANAKA",NZ,10,ROB ROY LANE,WANAKA,,,
"3 HAWKDUN PLACE, BRIDGE HILL, ALEXANDRA",NZ,3,HAWKDUN PLACE,ALEXANDRA,,,
"40 COLE STREET, CAVERSHAM, DUNEDIN",NZ,40,COLE STREET,DUNEDIN,,,
"15 ABERCROMBIE STREET, MILTON",NZ,15,ABERCROMBIE STREET,MILTON,,,
"40 HOLYHEAD STREET, OUTRAM",NZ,40,HOLYHEAD STREET,OUTRAM,,,
"309 FLYNN ROAD, RONGAHERE, CLYDEVALE",NZ,309,FLYNN ROAD,CLYDEVALE,,,
"41 EDEN STREET, MOSGIEL",NZ,41,EDEN STREET,MOSGIEL,,,
"14 HAIG STREET, MORNINGTON, DUNEDIN",NZ,14,HAIG STREET,DUNEDIN,,,
"16 TRENT STREET, OAMARU",NZ,16,TRENT STREET,OAMARU,,,
"8 WHITBY STREET, MORNINGTON, DUNEDIN",NZ,8,WHITBY STREET,DUNEDIN,,,
"282 MOUNT WALLACE ROAD, BENHAR, BALCLUTHA",NZ,282,MOUNT WALLACE ROAD,BALCLUTHA,,,
"3 RATA STREET, KAKA POINT",NZ,3,RATA STREET,KAKA POINT,,,
"29 CHERRY DRIVE, MOSGIEL",NZ,29,CHERRY DRIVE,MOSGIEL,,,
"587 PENINSULA ROAD, KELVIN HEIGHTS, QUEENSTOWN",NZ,587,PENINSULA ROAD,QUEENSTOWN,,,
"41 MCMILLAN ROAD, ARTHURS POINT, QUEENSTOWN",NZ,41,MCMILLAN ROAD,QUEENSTOWN,,,
"211 BUTTS ROAD, MILTON",NZ,211,BUTTS ROAD,MILTON,,,
"107 CENTENNIAL AVENUE, HELENSBURGH, DUNEDIN",NZ,107,CENTENNIAL AVENUE,DUNEDIN,,,
"165 CHINAMAN FLAT ROAD, BEAUMONT, LAWRENCE",NZ,165,CHINAMAN FLAT ROAD,LAWRENCE,,,
"4 EDNAM STREET, ROXBURGH",NZ,4,EDNAM STREET,ROXBURGH,,,
"41 PATERSON STREET, ABBOTSFORD, DUNEDIN",NZ,41,PATERSON STREET,DUNEDIN,,,
"47 ARNOTT STREET, ALEXANDRA",NZ,47,ARNOTT STREET,ALEXANDRA,,,
"24 MAN STREET, QUEENSTOWN",NZ,24,MAN STREET,QUEENSTOWN,,,
"48 CHARLEMONT STREET, RANFURLY",NZ,48,CHARLEMONT STREET,RANFURLY,,,
"1057 HUNT ROAD, OWAKA VALLEY, OWAKA",NZ,1057,HUNT ROAD,OWAKA,,,
"79 WILDEN RUNS ROAD, WILDEN, TAPANUI",NZ,79,WILDEN RUNS ROAD,TAPANUI,,,
"78 OAKWOOD AVENUE, MARYHILL, DUNEDIN",NZ,78,OAKWOOD AVENUE,DUNEDIN,,,
"7A CARLYLE ROAD, MOSGIEL",NZ,7A,CARLYLE ROAD,MOSGIEL,,,
"30D DERWENT CRESCENT, TITIRANGI, AUCKLAND",NZ,30D,DERWENT CRESCENT,AUCKLAND,AUCKLAND,,
"230 FORBURY ROAD, SAINT CLAIR, DUNEDIN",NZ,230,FORBURY ROAD,DUNEDIN,,,
"56 LAWRENCE STREET, MORNINGTON, DUNEDIN",NZ,56,LAWRENCE STREET,DUNEDIN,,,
"68 BALLARAT STREET, QUEENSTOWN",NZ,68,BALLARAT STREET,QUEENSTOWN,,,
"140 BALMACEWEN ROAD, WAKARI, DUNEDIN",NZ,140,BALMACEWEN ROAD,DUNEDIN,,,
"47 EMBO STREET, CAVERSHAM, DUNEDIN",NZ,47,EMBO STREET,DUNEDIN,,,
"10 OREGON DRIVE, KELVIN HEIGHTS, QUEENSTOWN",NZ,10,OREGON DRIVE,QUEENSTOWN,,,
"7 HILLVIEW PLACE, WANAKA",NZ,7,HILLVIEW PLACE,WANAKA,,,
"25 VISCOUNT ROAD, WALDRONVILLE, DUNEDIN",NZ,25,VISCOUNT ROAD,DUNEDIN,,,
"317 PORT MOLYNEUX ROAD, KAKA POINT",NZ,317,PORT MOLYNEUX ROAD,KAKA POINT,,,
"40 RANKLEBURN ROAD, POMAHAKA, GORE",NZ,40,RANKLEBURN ROAD,GORE,,,
"15 HARVEY TERRACE, BALCLUTHA",NZ,15,HARVEY TERRACE,BALCLUTHA,,,
"45 STEPHEN STREET, HALFWAY BUSH, DUNEDIN",NZ,45,STEPHEN STREET,DUNEDIN,,,
"25 MURRAY STREET, CAVERSHAM, DUNEDIN",NZ,25,MURRAY STREET,DUNEDIN,,,
"48 FITZROY STREET, CAVERSHAM, DUNEDIN",NZ,48,FITZROY STREET,DUNEDIN,,,
"16 CUNNINGHAM STREET, EGMONT VILLAGE",NZ,16,CUNNINGHAM STREET,EGMONT VILLAGE,,,
"46C GORGE ROAD, QUEENSTOWN",NZ,46C,GORGE ROAD,QUEENSTOWN,,,
"265 BROCKVILLE ROAD, BROCKVILLE, DUNEDIN",NZ,265,BROCKVILLE ROAD,DUNEDIN,,,
"98 LYNN STREET, WAKARI, DUNEDIN",NZ,98,LYNN STREET,DUNEDIN,,,
"43 TAY STREET, MOSGIEL",NZ,43,TAY STREET,MOSGIEL,,,
"35 MOIR STREET, BALCLUTHA",NZ,35,MOIR STREET,BALCLUTHA,,,
"84 NEVILLE STREET, CAVERSHAM, DUNEDIN",NZ,84,NEVILLE STREET,DUNEDIN,,,
"78 MIDDLETON ROAD, KEW, DUNEDIN",NZ,78,MIDDLETON ROAD,DUNEDIN,,,
"62 SUSSEX STREET, TAPANUI",NZ,62,SUSSEX STREET,TAPANUI,,,
"3 LANARK STREET, MOSGIEL",NZ,3,LANARK STREET,MOSGIEL,,,
"177 PENINSULA ROAD, KAWARAU FALLS, QUEENSTOWN",NZ,177,PENINSULA ROAD,QUEENSTOWN,,,
"105 SUMMER HILL ROAD, KAITANGATA",NZ,105,SUMMER HILL ROAD,KAITANGATA,,,
"7 BRENT STREET, MAORI HILL, DUNEDIN",NZ,7,BRENT STREET,DUNEDIN,,,
"11 HARE ROAD, OCEAN VIEW, DUNEDIN",NZ,11,HARE ROAD,DUNEDIN,,,
"41 BARR STREET, KENMURE, DUNEDIN",NZ,41,BARR STREET,DUNEDIN,,,
"26 TWEED STREET, ROSLYN, DUNEDIN",NZ,26,TWEED STREET,DUNEDIN,,,
"30 WYNYARD CRESCENT, FERNHILL, QUEENSTOWN",NZ,30,WYNYARD CRESCENT,QUEENSTOWN,,,
"7 STEPHEN STREET, HALFWAY BUSH, DUNEDIN",NZ,7,STEPHEN STREET,DUNEDIN,,,
"20 CLEGHORN STREET, UPPER JUNCTION, DUNEDIN",NZ,20,CLEGHORN STREET,DUNEDIN,,,
"32 COLE STREET, CAVERSHAM, DUNEDIN",NZ,32,COLE STREET,DUNEDIN,,,
"52 SUTCLIFFE STREET, SAINT CLAIR, DUNEDIN",NZ,52,SUTCLIFFE STREET,DUNEDIN,,,
"319 TOP GRASS ROAD, DANNEVIRKE",NZ,319,TOP GRASS ROAD,DANNEVIRKE,,,
"76 MIDDLETON ROAD, KEW, DUNEDIN",NZ,76,MIDDLETON ROAD,DUNEDIN,,,
"103 BRAEVIEW CRESCENT, MAORI HILL, DUNEDIN",NZ,103,BRAEVIEW CRESCENT,DUNEDIN,,,
"3 NEWCASTLE STREET, CLYDE",NZ,3,NEWCASTLE STREET,CLYDE,,,
"43 OAKGROVE DRIVE, RANGIORA",NZ,43,OAKGROVE DRIVE,RANGIORA,,,
"135B HEYWARDS ROAD, CLARKVILLE, KAIAPOI",NZ,135B,HEYWARDS ROAD,KAIAPOI,,,
"23 SCOULAR STREET, MARYHILL, DUNEDIN",NZ,23,SCOULAR STREET,DUNEDIN,,,
"26 WEIR STREET, GREEN ISLAND, DUNEDIN",NZ,26,WEIR STREET,DUNEDIN,,,
"8 HILL STREET, KAKA POINT",NZ,8,HILL STREET,KAKA POINT,,,
"46 ABIRU CRESCENT, FAVONA, AUCKLAND",NZ,46,ABIRU CRESCENT,AUCKLAND,AUCKLAND,,
"131 FORFAR STREET, CLYDE HILL, DUNEDIN",NZ,131,FORFAR STREET,DUNEDIN,,,
"20 GLENCARRON STREET, ALEXANDRA",NZ,20,GLENCARRON STREET,ALEXANDRA,,,
"27 MAIN ROAD, OWAKA",NZ,27,MAIN ROAD,OWAKA,,,
"19 OXFORD STREET, BALCLUTHA",NZ,19,OXFORD STREET,BALCLUTHA,,,
"31 RIVERSIDE ROAD, TAIERI MOUTH",NZ,31,RIVERSIDE ROAD,TAIERI MOUTH,,,
"6 TAMATEA ROAD, OTAKOU, DUNEDIN",NZ,6,TAMATEA ROAD,DUNEDIN,,,
"17 JOHN STREET, OCEAN VIEW, DUNEDIN",NZ,17,JOHN STREET,DUNEDIN,,,
"51 HIGHGATE, BELLEKNOWES, DUNEDIN",NZ,51,HIGHGATE,DUNEDIN,,,
"202 STATE HIGHWAY 1, LEVIN",NZ,202,STATE HIGHWAY 1,LEVIN,,,
"127 AUBREY ROAD, WANAKA",NZ,127,AUBREY ROAD,WANAKA,,,
"276 KENMURE ROAD, KENMURE, DUNEDIN",NZ,276,KENMURE ROAD,DUNEDIN,,,
"14 ARMSTRONG STREET, BALCLUTHA",NZ,14,ARMSTRONG STREET,BALCLUTHA,,,
"266 MIDDLETON ROAD, CORSTORPHINE, DUNEDIN",NZ,266,MIDDLETON ROAD,DUNEDIN,,,
"46 BUCKINGHAM STREET, ARROWTOWN",NZ,46,BUCKINGHAM STREET,ARROWTOWN,,,
"98 SHETLAND STREET, WAKARI, DUNEDIN",NZ,98,SHETLAND STREET,DUNEDIN,,,
"17 ASQUITH STREET, CAVERSHAM, DUNEDIN",NZ,17,ASQUITH STREET,DUNEDIN,,,
"10 LITTLE OAK COMMON, WANAKA",NZ,10,LITTLE OAK COMMON,WANAKA,,,
"20 THOMSON STREET, ARROWTOWN",NZ,20,THOMSON STREET,ARROWTOWN,,,
"746 TAIHARURU ROAD, TAIHARURU, PARUA BAY",NZ,746,TAIHARURU ROAD,PARUA BAY,,,
"8 BOWEN STREET, KUROW",NZ,8,BOWEN STREET,KUROW,,,
"1 WALNUT PLACE, MOSGIEL",NZ,1,WALNUT PLACE,MOSGIEL,,,
"29 MARINA DRIVE, FRANKTON, QUEENSTOWN",NZ,29,MARINA DRIVE,QUEENSTOWN,,,
"8B EARNLEY STREET, RANGIORA",NZ,8B,EARNLEY STREET,RANGIORA,,,
"7 MOUNT STREET, WAKARI, DUNEDIN",NZ,7,MOUNT STREET,DUNEDIN,,,
"1283 GREENVALE ROAD, CROSSANS CORNER, GORE",NZ,1283,GREENVALE ROAD,GORE,,,
"78 SPENSER STREET, MILTON",NZ,78,SPENSER STREET,MILTON,,,
"76 KAIKORAI VALLEY ROAD, KAIKORAI, DUNEDIN",NZ,76,KAIKORAI VALLEY ROAD,DUNEDIN,,,
"16 DEVON STREET, TAPANUI",NZ,16,DEVON STREET,TAPANUI,,,
"14 ROB ROY LANE, WANAKA",NZ,14,ROB ROY LANE,WANAKA,,,
"40 LAKE AVENUE, FRANKTON, QUEENSTOWN",NZ,40,LAKE AVENUE,QUEENSTOWN,,,
"178 FERNHILL ROAD, FERNHILL, QUEENSTOWN",NZ,178,FERNHILL ROAD,QUEENSTOWN,,,
"61 GOODALL STREET, MOSGIEL",NZ,61,GOODALL STREET,MOSGIEL,,,
"1131 WANAKA-MOUNT ASPIRING ROAD, GLENDHU BAY, WANAKA",NZ,1131,WANAKA-MOUNT ASPIRING ROAD,WANAKA,,,
"899 COAST ROAD, TOKO MOUTH, MILTON",NZ,899,COAST ROAD,MILTON,,,
"2 WEARDALE STREET, BEAUMONT, LAWRENCE",NZ,2,WEARDALE STREET,LAWRENCE,,,
"1402 TAIERI MOUTH ROAD, TAIERI MOUTH",NZ,1402,TAIERI MOUTH ROAD,TAIERI MOUTH,,,
"50 ANN STREET, KAIKORAI, DUNEDIN",NZ,50,ANN STREET,DUNEDIN,,,
"30 ARGYLE STREET, MORNINGTON, DUNEDIN",NZ,30,ARGYLE STREET,DUNEDIN,,,
"165 BEACON POINT ROAD, WANAKA",NZ,165,BEACON POINT ROAD,WANAKA,,,
"69 ROYAL TERRACE, ALEXANDRA",NZ,69,ROYAL TERRACE,ALEXANDRA,,,
"166 MAIN SOUTH ROAD, GREEN ISLAND, DUNEDIN",NZ,166,MAIN SOUTH ROAD,DUNEDIN,,,
"15 MOLD STREET, MIDDLEMARCH",NZ,15,MOLD STREET,MIDDLEMARCH,,,
"22 MCBRIDE STREET, FRANKTON, QUEENSTOWN",NZ,22,MCBRIDE STREET,QUEENSTOWN,,,
"66 WALTON PARK AVENUE, FAIRFIELD, DUNEDIN",NZ,66,WALTON PARK AVENUE,DUNEDIN,,,
"19 TEAL CRESCENT, OMARAMA, OMARAMA",NZ,19,TEAL CRESCENT,OMARAMA,,,
"1463 TUAPEKA WEST ROAD, KONONI, LAWRENCE",NZ,1463,TUAPEKA WEST ROAD,LAWRENCE,,,
"2 GOODALL STREET, MOSGIEL",NZ,2,GOODALL STREET,MOSGIEL,,,
"41 BREMNER STREET, FAIRFIELD, DUNEDIN",NZ,41,BREMNER STREET,DUNEDIN,,,
"28 ROYAL TERRACE, DUNEDIN CENTRAL, DUNEDIN",NZ,28,ROYAL TERRACE,DUNEDIN,,,
"40 THAMES STREET, MOSGIEL",NZ,40,THAMES STREET,MOSGIEL,,,
"14 CARLOW PLACE, CROMWELL",NZ,14,CARLOW PLACE,CROMWELL,,,
"348 KOKOPU ROAD, RUATANGATA WEST, WHANGAREI",NZ,348,KOKOPU ROAD,WHANGAREI,,,
"17 KIRKCALDY STREET, SOUTH DUNEDIN, DUNEDIN",NZ,17,KIRKCALDY STREET,DUNEDIN,,,
"41 HOOD STREET, WAKARI, DUNEDIN",NZ,41,HOOD STREET,DUNEDIN,,,
"22 EDWIN STREET, CAVERSHAM, DUNEDIN",NZ,22,EDWIN STREET,DUNEDIN,,,
"77 OXLEY CRESCENT, BROAD BAY, DUNEDIN",NZ,77,OXLEY CRESCENT,DUNEDIN,,,
"38 JOHNSON STREET, MILTON",NZ,38,JOHNSON STREET,MILTON,,,
"27 ST MARY'S ROAD, WAIPU",NZ,27,ST MARY'S ROAD,WAIPU,,,
"2 ROTO PLACE, WANAKA",NZ,2,ROTO PLACE,WANAKA,,,
"143 CAVERSHAM VALLEY ROAD, CALTON HILL, DUNEDIN",NZ,143,CAVERSHAM VALLEY ROAD,DUNEDIN,,,
"553 HIGHGATE, MAORI HILL, DUNEDIN",NZ,553,HIGHGATE,DUNEDIN,,,
"30 HORACE STREET, CROMWELL",NZ,30,HORACE STREET,CROMWELL,,,
"2 GORDON ROAD, MOSGIEL",NZ,2,GORDON ROAD,MOSGIEL,,,
"24 WILKIN ROAD, WANAKA",NZ,24,WILKIN ROAD,WANAKA,,,
"35 VASARI GRANGE, ROLLESTON",NZ,35,VASARI GRANGE,ROLLESTON,,,
"8 CLEGHORN STREET, UPPER JUNCTION, DUNEDIN",NZ,8,CLEGHORN STREET,DUNEDIN,,,
"2282 CARDRONA VALLEY ROAD, CARDRONA, WANAKA",NZ,2282,CARDRONA VALLEY ROAD,WANAKA,,,
"97 VENTRY STREET, ALEXANDRA",NZ,97,VENTRY STREET,ALEXANDRA,,,
"8/90 WAIMEA ROAD, NELSON SOUTH, NELSON",NZ,8/90,WAIMEA ROAD,NELSON,,,
"93 MARTIN ROAD, FAIRFIELD, DUNEDIN",NZ,93,MARTIN ROAD,DUNEDIN,,,
"70 JOHNSON STREET, MILTON",NZ,70,JOHNSON STREET,MILTON,,,
"114 EDDYSTONE STREET, KAITANGATA",NZ,114,EDDYSTONE STREET,KAITANGATA,,,
"127 KING EDWARD STREET, SOUTH DUNEDIN, DUNEDIN",NZ,127,KING EDWARD STREET,DUNEDIN,,,
"253 CHAIN HILLS ROAD, CHAIN HILLS, DUNEDIN",NZ,253,CHAIN HILLS ROAD,DUNEDIN,,,
"1 BRAEMAR STREET, MOSGIEL",NZ,1,BRAEMAR STREET,MOSGIEL,,,
"3 BODKIN STREET, LAKE HAWEA",NZ,3,BODKIN STREET,LAKE HAWEA,,,
"20 UPLAND STREET, HELENSBURGH, DUNEDIN",NZ,20,UPLAND STREET,DUNEDIN,,,
"46 CONNOR STREET, WANAKA",NZ,46,CONNOR STREET,WANAKA,,,
"31 QUEEN STREET, BRIGHTON, DUNEDIN",NZ,31,QUEEN STREET,DUNEDIN,,,
"493 HILLSIDE ROAD, CAVERSHAM, DUNEDIN",NZ,493,HILLSIDE ROAD,DUNEDIN,,,
"141 WARREN STREET, WANAKA",NZ,141,WARREN STREET,WANAKA,,,
"39 BURNS STREET, MILTON",NZ,39,BURNS STREET,MILTON,,,
"934 PURANGI ROAD, COOKS BEACH, WHITIANGA",NZ,934,PURANGI ROAD,WHITIANGA,,,
"15 FRYER STREET, QUEENSTOWN",NZ,15,FRYER STREET,QUEENSTOWN,,,
"47 BUTE STREET, RANFURLY",NZ,47,BUTE STREET,RANFURLY,,,
"7 CAULFEILD STREET, RANFURLY",NZ,7,CAULFEILD STREET,RANFURLY,,,
"22 EASTBOURNE STREET, CAVERSHAM, DUNEDIN",NZ,22,EASTBOURNE STREET,DUNEDIN,,,
